id,groupid,size
1,1,9080
2,1,4610
3,2,3810
4,1,2990
5,1,2820
6,3,2430
7,99,2400
8,3,2090
9,3,1580
10,1,1290
11,1,1230
12,1,1210
13,3,829
14,3,768
15,1,745
16,3,651
17,3,589
18,1,569
19,2,502
20,3,441
21,2,425
22,5,388
23,99,378
24,1,373
25,3,369
26,2,364
27,5,359
28,1,349
29,1,340
30,3,338
31,99,330
32,1,306
33,1,301
34,99,283
35,1,268
36,3,268
37,99,266
38,99,264
39,3,262
40,3,256
41,5,243
42,1,237
43,3,223
44,1,222
45,1,220
46,99,220
47,1,212
48,99,201
49,1,193
50,3,190
51,1,189
52,3,188
53,1,186
54,1,179
55,3,179
56,99,174
57,1,172
58,3,165
59,1,165
60,3,164
61,1,163
62,1,157
63,3,149
64,2,147
65,3,145
66,1,142
67,1,138
68,3,128
69,3,120
70,2,97